anio,region,indice,valor,error_estandar
2015,Aysén,FGT1_brecha,5.776966479381024,0.7410418253848522
2017,Aysén,FGT1_brecha,4.5477590622831245,0.5004554940902967
2020,Aysén,FGT1_brecha,9.327556085867212,0.7939401036873649
2022,Aysén,FGT1_brecha,4.852750537563373,0.5948633442352602
2024,Aysén,FGT1_brecha,4.292567822593293,0.43689868599831577
2009,Magallanes,FGT1_brecha,9.222565961241799,1.788399398656381
2011,Magallanes,FGT1_brecha,6.592371299051379,0.5306505638386902
2013,Magallanes,FGT1_brecha,6.199401703447132,1.2555742215969914
2015,Magallanes,FGT1_brecha,5.09485321029526,0.4857941470611835
2017,Magallanes,FGT1_brecha,3.8098386305535428,0.4096190755646477
2020,Magallanes,FGT1_brecha,7.922228979038988,0.5906371786958617
2022,Magallanes,FGT1_brecha,4.692872506220452,0.5740476690946225
2024,Magallanes,FGT1_brecha,3.355936098562936,0.35018478979817125
2009,Total país,FGT1_brecha,14.05843070594698,0.21651094698277923
2011,Total país,FGT1_brecha,12.70525104386089,0.2386208940077243
2013,Total país,FGT1_brecha,9.02643556170654,0.1570743230591079
2015,Total país,FGT1_brecha,7.849478991338452,0.12494125459437759
2017,Total país,FGT1_brecha,7.140413175186258,0.12194194394208424
2020,Total país,FGT1_brecha,11.271680687624299,0.17702454337176518
2022,Total país,FGT1_brecha,6.75600503178836,0.09632633585038737
2024,Total país,FGT1_brecha,5.418749183759425,0.07680630732213067
2009,Arica y Parinacota,FGT2_severidad,5.622330408353909,0.8295508829131669
2011,Arica y Parinacota,FGT2_severidad,6.5324454265829,0.6271513564451432
2013,Arica y Parinacota,FGT2_severidad,5.69148354866464,0.45765012500082497
2015,Arica y Parinacota,FGT2_severidad,3.586726422116482,0.48803324315590707
2017,Arica y Parinacota,FGT2_severidad,3.9857182819085715,0.32202218135061306
2020,Arica y Parinacota,FGT2_severidad,8.237372959170594,0.5259710694052537
2022,Arica y Parinacota,FGT2_severidad,4.438210507285946,0.3380812508986272
2024,Arica y Parinacota,FGT2_severidad,4.035043191952472,0.3789241530218006
2009,Tarapacá,FGT2_severidad,7.253599463047583,0.8589035054998329
2011,Tarapacá,FGT2_severidad,5.370048467367205,0.4111398770198995
2013,Tarapacá,FGT2_severidad,3.3447078254263594,0.3004389254788041
2015,Tarapacá,FGT2_severidad,3.2664298520527324,0.37324402868799744
2017,Tarapacá,FGT2_severidad,3.1477159842095066,0.21898920608071026
2020,Tarapacá,FGT2_severidad,8.254656380469179,0.5881328874286775
2022,Tarapacá,FGT2_severidad,4.919428755436765,0.5958588565312556
2024,Tarapacá,FGT2_severidad,3.1189375316266856,0.26862551070859075
2009,Antofagasta,FGT2_severidad,2.697355446964544,0.3685433701214726
2011,Antofagasta,FGT2_severidad,2.836858674124292,0.36344197342332435
2013,Antofagasta,FGT2_severidad,2.180745510566692,0.26734022688586523
2015,Antofagasta,FGT2_severidad,2.6866685793743628,0.39986566434091547
2017,Antofagasta,FGT2_severidad,3.117388529029869,0.3988639075706189
2020,Antofagasta,FGT2_severidad,6.926287083873621,0.4422706824122949
2022,Antofagasta,FGT2_severidad,4.100146090811455,0.3212040752877819
2024,Antofagasta,FGT2_severidad,2.803607401638548,0.2312768215443494
2009,Atacama,FGT2_severidad,8.21510672650638,1.1235876087452015
2011,Atacama,FGT2_severidad,5.363465505611308,0.38960938016093477
2013,Atacama,FGT2_severidad,3.2875170790196924,0.7273653725741069
2015,Atacama,FGT2_severidad,2.936619900915444,0.22412070331542222
2017,Atacama,FGT2_severidad,4.563004163472424,0.388783765757434
2020,Atacama,FGT2_severidad,6.105338144531001,0.5023841148417802
2022,Atacama,FGT2_severidad,4.454612852926782,0.36948197977248554
2024,Atacama,FGT2_severidad,3.2680900684984935,0.2661333651429953
2009,Coquimbo,FGT2_severidad,8.362615180857267,0.5010464967083689
2011,Coquimbo,FGT2_severidad,6.758233433590285,0.45864598442899673
2013,Coquimbo,FGT2_severidad,4.855329645588395,0.43392689143054075
2015,Coquimbo,FGT2_severidad,4.60372216638014,0.2220632785101673
2017,Coquimbo,FGT2_severidad,5.000539036421793,0.32740136590772256
2020,Coquimbo,FGT2_severidad,7.203908003127742,0.5201345501306375
